Timestamp,SourceIP,SourcePort,DestinationIP,DestinationPort,FlowBytess,FlowPacketss,Label
05/07/2017 08:42,192.168.10.14,49459,209.48.71.168,80,313.250496,52.208416,BENIGN
05/07/2017 08:42,192.168.10.17,49453,192.168.10.3,389,1039665.971,33402.92276,BENIGN
05/07/2017 08:42,192.168.10.17,46124,192.168.10.3,88,5753424.658,14611.87215,BENIGN
05/07/2017 08:42,192.168.10.17,49454,192.168.10.3,389,665000.6576,1907.141918,BENIGN
05/07/2017 08:42,192.168.10.17,46126,192.168.10.3,88,5771062.271,13736.26374,BENIGN
05/07/2017 08:42,192.168.10.17,49460,192.168.10.3,389,1150115.473,34642.03233,BENIGN
05/07/2017 08:42,192.168.10.17,46131,192.168.10.3,88,5792279.412,13786.76471,BENIGN
05/07/2017 08:42,192.168.10.16,37380,91.189.88.161,80,554118.0025,486.8574388,BENIGN
05/07/2017 08:42,192.168.10.15,49413,192.168.10.3,49666,4000000,666666.6667,BENIGN
05/07/2017 08:42,192.168.10.3,49666,192.168.10.15,49413,4500000,750000,BENIGN
05/07/2017 08:43,192.168.10.12,49894,192.168.10.3,88,5790740.741,13888.88889,BENIGN
05/07/2017 08:43,192.168.10.12,43838,192.168.10.3,389,3250.459916,12.9778805,BENIGN
05/07/2017 08:43,192.168.10.12,59666,192.168.10.3,3268,2028.088522,11.50259161,BENIGN
05/07/2017 08:43,192.168.10.15,49452,131.253.61.82,443,79692.90303,94.73803113,BENIGN
05/07/2017 08:43,192.168.10.15,49452,131.253.61.82,443,22800000,500000,BENIGN
05/07/2017 08:42,192.168.10.8,49184,192.168.10.3,49666,75.1810614,0.697640854,BENIGN
05/07/2017 08:42,192.168.10.8,49183,192.168.10.3,135,51.13109701,0.697615288,BENIGN
05/07/2017 08:43,192.168.10.8,49184,192.168.10.3,49666,510638.2979,85106.38298,BENIGN
05/07/2017 08:43,192.168.10.8,49183,192.168.10.3,135,400000,66666.66667,BENIGN
05/07/2017 08:43,23.61.187.27,80,192.168.10.15,49441,138461.5385,23076.92308,BENIGN
05/07/2017 08:43,192.168.10.14,49466,134.170.51.247,443,26204.76182,18.42902826,BENIGN
05/07/2017 08:43,192.168.10.14,49468,134.170.51.247,443,28805.08529,68.30165654,BENIGN
05/07/2017 08:43,192.168.10.14,49470,40.77.226.220,443,17213.03718,34.86941404,BENIGN
05/07/2017 08:43,192.168.10.14,49470,40.77.226.220,443,1276315.789,39473.68421,BENIGN
05/07/2017 08:43,192.168.10.9,13792,192.168.10.50,44459,722698.5242,808.151792,BENIGN
05/07/2017 08:43,192.168.10.50,44459,192.168.10.9,13792,413793.1034,68965.51724,BENIGN
