Mon;Tue;Wed;ThurMor;ThurAfter;FriMor;FriAfterPort;FriAfterDDos
1.34366412235643;1.30765027809832;2.17220582012633;0.914236979625517;2.91531552399848;1.05380816132293;2.17205963417586;3.52764694983906
1.45161666490883;1.83055051053374;2.84108006962444;1.68254330325976;2.90128996002175;1.79789055015076;2.87616344775611;3.47071436393414
2.34775201848411;1.34001707680884;2.82285227964546;2.68131349275572;2.7052498181635;2.83576164168457;2.6390235718949;3.41519155906457
1.86824345371143;3.33000009560348;3.42320775242843;3.25875387037325;2.45258202526386;2.98290878913324;2.73024791427532;3.2011531471278
2.61554253046727;2.62376070837722;3.4857878486748;3.14002890020435;3.1231417012107;2.55164937193726;3.21887308154098;3.18539752352295
2.67539250650771;3.0319288305825;3.46528564429915;3.17949149683896;3.2099147080815;3.00567721963187;3.0574897567416;3.21985772942238
3.21013839385611;2.83415328038423;3.46389401585358;3.011567243583;3.22106803196208;3.35815157369583;3.31880242693969;3.13547738495862
2.8241014897344;2.96669790943817;3.40108745756489;3.02156423228712;3.4859185042486;3.53633719543056;3.04097280202348;2.80678751249162
2.96236798239567;3.17142772688021;3.5550831681049;3.46657230758824;3.52383725470115;3.37344278010035;3.03450396599925;2.34289453845529
2.99095615727102;3.40552167391514;3.28199619635797;3.33600746794243;3.39588132931798;3.57847645561356;3.1813069751116;3.0428927272594
3.35993381559049;3.46722287561922;3.30558424154174;3.6171708332107;3.49966327632278;3.60365464227284;3.24058901185918;3.02625637881135
3.49635558146014;3.15018795838854;3.66802330522845;3.51979154453525;3.44382741710158;3.61969177877075;3.17356159775336;2.65214939351176
3.54494599668432;3.81582980309165;3.45158697686754;3.25237976633516;3.32286010988381;3.60472349698214;3.23614817464055;2.42859369004471
2.99918727744152;3.58269955569479;3.16590189352903;2.92189577014045;3.55233574820134;3.34150368004502;3.091750962524;2.22316200592139
3.44607208622574;3.49358380984644;3.00914773706105;2.8951928279707;3.16662740656231;3.70637728449547;3.15504819928612;2.38010304893966
3.54319299146649;3.45112570675972;3.30581852540064;3.28409749370595;3.10917257934684;3.52076280508862;3.13608066368398;1.98235145676182
3.71174550711923;3.52851601895534;3.05267340977151;3.17915097092476;3.24861805531322;3.31871587674401;3.17429864600909;1.31494417933381
3.17705281019476;3.57520040451704;3.30409347631321;3.18614854664026;3.14020525836982;3.276555426625;3.68417410208523;1.19591971135247
2.83733545315313;3.24285248864235;3.27597395881481;3.3057531093076;3.0322258118524;3.22288045003867;3.55143845794132;1.08965854384931
3.30568474269142;3.74914235819979;3.15439328036787;3.45987122470476;3.22999493042989;3.44926295739375;3.74418817599275;1.70265139116738
3.49075015726925;3.20042657902026;3.07998493664688;3.58386781769835;3.45933818633566;3.73201243579033;2.93893182479683;1.28484224265752
3.23218272446831;3.71538567391706;3.32546999817199;3.64167399668468;3.6670484177175;3.50540539466929;3.04232084538381;2.25687911640763
3.6795847738905;3.4951640784641;3.23033957728625;3.44034292018971;3.35562962336792;3.56884108611632;2.94487602508773;1.70497599630186
3.71313141683832;3.58074888198849;3.15685795745484;3.51585998172867;3.09069651035793;3.68400595961329;2.96449291118003;3.06907147267104
3.34141003184641;3.30407535757212;3.26540370722226;3.39150967763236;3.03367308708573;3.48832927915198;2.97774113275955;3.04702944672142
3.27354196259265;3.47497721095178;3.35695592457751;3.36474948443341;3.18290671132514;3.54174423139089;3.35665710932252;3.23223589583441
3.25028291821546;3.47128775432421;2.86451378449774;3.66532959035138;3.26076149584997;3.2686614684316;3.0316627453455;3.05524592066538
3.44481721899495;3.35866446871745;3.56567596647212;3.41482729678462;3.36677384041807;3.18431956388659;3.26407840509109;3.22319362726469
3.44460697329796;3.47144556780532;3.31018598919961;3.49647014305665;3.52112447974797;3.13493260589716;3.26805087654892;3.05668878257596
3.61733902433692;3.3814078081851;3.0409673730329;3.44959928949672;3.44771336372734;3.3143001542976;3.18496447560124;3.32137434902127
3.28196980830174;3.74045412830855;3.36812629197059;3.59309555302562;2.8262333056466;3.21488394396208;3.45733576745054;3.67549613382061
3.36520199616768;3.7109941790493;3.54001358476647;3.39490807270233;3.32128587146887;3.30563321722947;3.29860978120378;3.32685854453338
3.55123352864795;3.93646755994891;3.38560278082601;3.29797405163533;3.58554622837854;3.52929729397524;2.88442388452387;3.00578628795954
3.71262034307658;3.71839415219406;3.5615795527505;3.34682691357268;3.56052849312373;3.37190661986754;3.11634874962021;3.0851141162083
3.7157501441727;3.51136366413973;3.43904838514734;3.23999417933213;3.51883758204667;3.38393685345578;3.27616466069805;2.83964078441134
3.41723857907424;3.3671731110306;3.77244992757829;3.38618979554951;3.19951934792152;3.17903493267327;3.25464844695685;2.88726314757693
3.44509777517638;3.56293317354403;3.46550130222628;3.5904962825614;3.05852352195566;3.07839735609483;3.31157358340221;3.15706549294404
3.76393039963392;3.47482979876855;3.46210121322602;3.5479742735661;3.35624343263495;3.45834974546448;3.47614021075696;2.88600883155481
3.74606980070023;3.41300994175779;3.372796937358;3.60535741923489;3.33903631759594;3.28229636302863;3.23473662257039;2.95225496115546
3.53206628195848;3.71867610769327;3.39076407050361;3.62676514163469;3.40436103201849;3.33944051557678;3.05024142211469;3.14336107434675
3.58146764852324;3.34755939427128;3.37601565991858;3.49812105372288;3.66932390094163;3.13890476439604;3.52572947661868;3.31105450844006
3.48815171558762;3.72088482178421;3.42939415528002;3.51986896482928;3.26678375933464;3.53237748783192;3.27769062385092;3.37212040651995
