SourcePort,SourceIP,DestinationPort,DestinationIP,FlowBytess,FlowPacketss
5.22303703559393,1.31879336998126,1.21378051787382,0.914236979625517,1313632.62988388,34801.1960628674
6.00085642418957,2.26632358938938,2.38301768002108,1.68254330325976,2036020.3640836,76301.5092201888
6.1924059142597,2.34423191171071,2.25579427353671,2.68131349275572,1112064.3953185,46457.2298210335
5.93021120067464,2.88781447725605,2.62906204687416,3.25875387037325,1360078.38036139,69124.2945351851
6.97470042225838,2.12631015292623,2.05335091051621,3.14002890020435,1737826.60220596,49454.0071070727
6.36679293939237,2.71892445917303,2.4996291896042,3.17949149683896,1916419.31835355,62959.0202069028
6.74234842917017,2.47825693397889,2.18621666400237,3.011567243583,1985407.14115599,57488.4875752323
7.10678554219652,2.57800208500328,2.05058832087234,3.02156423228712,1135071.06830412,46242.4245450877
6.1008770683753,2.99414943773515,2.82154025139462,3.46657230758824,1450507.48416862,86971.7039377514
6.84019964916785,2.67167010913193,2.16228117229064,3.33600746794243,1162875.8084338,54072.408069627
6.45879399153349,2.97271855973089,2.6721215970532,3.6171708332107,2250241.36501736,63750.7763378152
5.50508664558725,3.00867519018582,3.02379335482592,3.51979154453525,2008905.18557853,80192.8986919207
6.67240483077935,2.60996688720804,2.27594799848369,3.25237976633516,1658821.29995168,45406.6988581355
6.68147907034514,2.37725061331623,2.13468684092195,2.92189577014045,1462664.86926776,50466.4509366853
5.70577924479008,2.5942997029309,2.76720970187631,2.8951928279707,1946670.28314979,64517.8220569484
7.27799846515957,2.35723585877082,1.88509062858796,3.28409749370595,1158919.45703901,29533.4347525136
6.74853486540166,2.73357221742678,2.41686382344462,3.17915097092476,1656921.28604978,46958.1939825769
6.41480521480509,2.34290473118987,2.3687168231028,3.18614854664026,1152282.37181185,39030.8197069487
6.33185379187257,2.57847336247102,2.55294967791563,3.3057531093076,960362.276900365,37604.7365880578
6.84459439424604,2.34788430650399,2.25481529889005,3.45987122470476,726666.792285207,29185.3407937364
7.1583697883576,2.75056715760101,2.40608177501283,3.58386781769835,838467.071168155,51400.8002052767
6.68165568798053,2.58443870688621,2.53625000243482,3.64167399668468,1205695.5616587,87098.666990814
6.40520729189128,2.6181038882849,2.4457640001859,3.44034292018971,825815.639266112,38935.0835696046
6.7930718389888,2.57169540269786,2.33246773804224,3.51585998172867,1500569.41501333,45511.2882558392
