SourcePort,SourceIP,DestinationPort,DestinationIP,FlowBytess,FlowPacketss
4.82353693470249,2.44299909970156,2.56897880823969,2.17205963417586,11642814.9426467,53259.0729583819
3.5987497154551,2.55062095712578,2.24349274930514,2.87616344775611,2706035.54637174,36375.7515969545
6.74487609285392,1.47468178325248,1.44239408473439,2.6390235718949,732681.283044528,17807.4517839096
5.10791860968506,2.66240244081903,2.79288105484251,2.73024791427532,3820876.26434525,66403.1323820039
6.495586630138,2.38245863068338,2.11760732456883,3.21887308154098,2051791.59752791,33197.6162556041
6.23752272203948,2.4750305262039,2.25474888249578,3.0574897567416,1283804.80915498,47929.0751175956
5.63690557137663,2.67384351536204,2.37583556947935,3.31880242693969,2064200.20882448,66550.0319639105
5.96182421681489,2.29737645515733,2.23101954795559,3.04097280202348,2005804.01641105,59724.5437301461
6.36327978985976,2.00176221434387,2.07219564032366,3.03450396599925,3322409.64796626,45127.8942951313
5.82958537187807,2.57535111911586,2.57773896471634,3.1813069751116,2537375.24080523,67253.9756041137
4.12150684018559,3.31145172864562,3.32249732180699,3.24058901185918,1756351.74844134,113770.951419269
6.26830426195608,2.58228290330222,2.22804412106329,3.17356159775336,2121797.17239347,77136.8063608414
6.26005964032376,2.52604473341957,2.17509960544652,3.23614817464055,1495512.23385544,47309.0813202402
4.83687671438738,3.30768663852596,3.358577824745,3.091750962524,8435734.24845673,108448.497194191
6.35416873478601,2.70627222333058,2.29363513273203,3.15504819928612,1894977.44764655,59320.3116033203
6.15282254721515,2.60292171648395,2.53283537752425,3.13608066368398,1493745.78914031,63698.361982721
4.40893190965852,3.17682953791302,3.45769201688553,3.17429864600909,4494744.29408309,86377.0512079121
7.64999360460185,2.29625958408257,2.2720767564871,3.68417410208523,1163440.08069753,36601.8952470352
7.38540606347224,2.34825236358291,2.13261152239146,3.55143845794132,914100.256749949,30322.3905093696
6.28882944097473,3.02488905643244,2.82207024745073,3.74418817599275,1211178.64876476,63450.948573208
6.28851767977372,2.31461830239037,2.41590992147078,2.93893182479683,3612370.13901117,64433.4004601263
6.52856897404875,2.63557181381915,2.08990901587692,3.04232084538381,1779114.43874792,56499.7339050027
6.64740179253462,2.04305941473785,1.96516357785057,2.94487602508773,2374660.87913416,37687.5511956778
7.15975026983718,2.12132446201146,1.8533979051052,2.96449291118003,2582011.97316612,39439.0872738898
6.32614356116648,2.52140243427474,2.31853579073727,2.97774113275955,1260432.03473133,40840.5827332032
5.54127921372378,3.00131962105707,2.80002652085583,3.35665710932252,6646392.94354241,83739.7518802564
6.47045216528229,2.40324136756486,2.05195270284506,3.0316627453455,1197073.5449151,49663.5386219292
6.77338315009631,2.50799396904713,2.22137385799381,3.26407840509109,2251083.13736886,52141.9977903768
6.16531788092333,2.68494657226582,2.50464880887724,3.26805087654892,2561743.19562855,75629.9298684704
6.87574461160245,2.68424414225908,2.01629445624512,3.18496447560124,2046952.8972371,41640.3203316464
5.79688391212386,3.10749173886939,2.84941154348109,3.45733576745054,3715582.53911029,67925.2012782434
5.58812178788847,2.67606478046847,2.47514330042763,3.29860978120378,5667224.31313234,82778.8174805831
6.5905965680402,2.32486794905834,1.87214123909683,2.88442388452387,1495968.8108381,44422.9474818936
6.77585507823465,2.39192277049873,2.02108442723941,3.11634874962021,2208233.97326557,50779.6871912465
6.9096825986354,2.66014059079122,2.19270387939921,3.27616466069805,2189027.94778665,49242.6887463327
6.89110649922415,2.75080420765253,2.30663195778451,3.25464844695685,2184963.40280945,59769.5607702742
7.01070956786778,2.43154912049862,2.1755440629225,3.31157358340221,1398402.68473909,41247.2318611635
